sample	unit	platform	fq1	fq2
kaapio_20_Kaapio	1	ILLUMINA	FASTQ/CONCATENATED/kaapio_20_Kaapio_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/kaapio_20_Kaapio_R2_001.merged.fastq.gz
kaapio_21_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/kaapio_21_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/kaapio_21_SphI_15m_1_R2_001.merged.fastq.gz
kaapio_4A_Kaapio	1	ILLUMINA	FASTQ/CONCATENATED/kaapio_4A_Kaapio_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/kaapio_4A_Kaapio_R2_001.merged.fastq.gz
kaapio_6A2_Kaapio	1	ILLUMINA	FASTQ/CONCATENATED/kaapio_6A2_Kaapio_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/kaapio_6A2_Kaapio_R2_001.merged.fastq.gz
kaapio_6A_Kaapio	1	ILLUMINA	FASTQ/CONCATENATED/kaapio_6A_Kaapio_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/kaapio_6A_Kaapio_R2_001.merged.fastq.gz
kaapio_6B_Kaapio	1	ILLUMINA	FASTQ/CONCATENATED/kaapio_6B_Kaapio_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/kaapio_6B_Kaapio_R2_001.merged.fastq.gz
sisar_11C_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/sisar_11C_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_11C_SphI_15m_1_R2_001.merged.fastq.gz
sisar_11C_SphI_15m_2	1	ILLUMINA	FASTQ/CONCATENATED/sisar_11C_SphI_15m_2_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_11C_SphI_15m_2_R2_001.merged.fastq.gz
sisar_11C_SphI_15m_3	1	ILLUMINA	FASTQ/CONCATENATED/sisar_11C_SphI_15m_3_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_11C_SphI_15m_3_R2_001.merged.fastq.gz
sisar_11C_SphI_4h_1	1	ILLUMINA	FASTQ/CONCATENATED/sisar_11C_SphI_4h_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_11C_SphI_4h_1_R2_001.merged.fastq.gz
sisar_11C_SphI_4h_2	1	ILLUMINA	FASTQ/CONCATENATED/sisar_11C_SphI_4h_2_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_11C_SphI_4h_2_R2_001.merged.fastq.gz
sisar_11D_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_11D_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_11D_Sisar_R2_001.merged.fastq.gz
sisar_11E_Sisar	1	ILLUMINA	FASTQ/CONCATENATED/sisar_11E_Sisar_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_11E_Sisar_R2_001.merged.fastq.gz
sisar_13C_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/sisar_13C_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/sisar_13C_SphI_15m_1_R2_001.merged.fastq.gz
